ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,AGUASCALIENTES,1,AGUASCALIENTES,474,1179,165703,22821,6305,6550,4160,13419,79615,4658,2017,5960,0,0,0,0,165,26,70,441,,,,424,9839,322173,682631
1,AGUASCALIENTES,2,ASIENTOS,17,58,7306,778,456,426,476,433,12335,268,377,345,17,22,46,0,0,0,0,0,,,,4,635,23924,36221
1,AGUASCALIENTES,3,CALVILLO,31,81,10010,1760,375,1089,419,878,6037,385,226,2349,17,26,28,2,0,0,0,0,,,,15,1162,24778,48366
1,AGUASCALIENTES,4,COSIO,5,19,2243,1872,105,2387,614,580,1023,42,23,68,5,5,12,0,0,0,0,0,,,,0,343,9322,12212
1,AGUASCALIENTES,5,JESUS MARIA,22,133,22452,4220,450,1240,564,903,10718,1387,362,1294,121,69,37,2,0,0,0,0,,,,37,1044,44900,88247
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,17,53,2007,4658,4363,656,1492,209,3418,292,393,172,30,19,84,30,0,0,0,0,,,,126,797,18746,32690
1,AGUASCALIENTES,7,RINCON DE ROMOS,21,65,5215,2314,467,1734,1125,2853,4867,332,291,649,35,34,22,1,0,0,0,0,,,,15,1324,21278,39531
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,7,15,1448,643,134,102,80,88,1312,53,150,1225,1,1,4,0,0,0,0,0,,,,2,225,5468,7309
1,AGUASCALIENTES,9,TEPEZALA,10,27,3981,239,772,3526,123,165,2146,72,97,65,6,14,123,1,0,0,0,0,,,,10,359,11699,16373
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,10,57,5473,6683,148,442,213,281,4519,248,149,188,19,29,18,2,0,0,0,0,,,,11,565,18988,37865
1,AGUASCALIENTES,11,EL LLANO,8,25,1992,314,424,124,2582,96,1871,99,138,2865,11,3,78,3,0,0,0,0,,,,3,545,11148,15962
2,BAJA CALIFORNIA,1,ENSENADA,244,700,17115,9805,2285,3114,8689,5966,62482,19765,4420,16785,549,132,23,24,761,178,191,825,,,,147,5484,158740,414808
2,BAJA CALIFORNIA,2,MEXICALI,580,1398,59230,17182,2950,6639,4267,17976,134749,48310,4484,5938,580,190,32,8,349,59,156,278,,,,287,10298,313962,818537
2,BAJA CALIFORNIA,3,TECATE,46,145,3465,3736,423,1548,647,1601,12334,7092,881,1717,131,49,5,4,42,10,33,51,,,,29,1420,35218,88071
2,BAJA CALIFORNIA,4,TIJUANA,1116,2566,77340,29619,8565,14250,11419,22861,263984,96713,7199,10711,2395,532,164,59,492,47,175,328,,,,455,17860,565168,1493699
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,27,158,3183,1392,513,1331,703,2982,16502,5997,1081,1251,82,19,9,3,50,6,34,70,,,,86,1313,36607,104062
3,BAJA CALIFORNIA SUR,1,COMONDU,71,115,9531,788,277,1348,1920,1409,10979,414,224,3103,240,145,22,4,35,20,24,880,,,,21,1173,32557,56125
3,BAJA CALIFORNIA SUR,2,MULEGE,44,89,8968,784,200,515,844,433,9275,300,218,106,225,112,14,0,18,4,16,311,,,,13,930,23286,42624
3,BAJA CALIFORNIA SUR,3,LA PAZ,222,410,41570,6499,1038,3548,4149,3606,39878,2686,1337,1220,1276,884,87,21,141,31,91,2210,,,,90,3073,113435,215389
3,BAJA CALIFORNIA SUR,4,LOS CABOS,134,395,29924,2607,758,2958,7093,2780,34837,2177,2410,5235,804,296,61,8,119,26,54,3104,,,,101,2962,98314,234803
3,BAJA CALIFORNIA SUR,5,LORETO,10,26,3117,489,124,66,312,775,2031,740,49,25,117,69,7,0,7,1,1,96,,,,3,290,8319,12707
4,CAMPECHE,1,CAMPECHE,146,373,4618,35867,1103,2359,1958,33298,45906,1290,1822,778,1510,431,22,55,0,0,0,0,,,,84,3245,134346,212325
4,CAMPECHE,2,CALKINI,30,60,506,6261,259,257,194,4931,10573,119,267,374,146,36,3,13,0,0,0,0,,,,2,544,24485,31269
4,CAMPECHE,3,CARMEN,135,308,4749,23186,727,1540,1400,13904,48508,696,868,478,726,246,12,41,0,0,0,0,,,,26,2802,99909,182975
4,CAMPECHE,4,CHAMPOTON,48,105,1332,9078,258,234,813,5247,15080,294,359,111,323,115,7,9,0,0,0,0,,,,7,968,34235,55603
4,CAMPECHE,5,HECELCHAKAN,18,40,628,4487,45,117,855,4061,6367,166,179,125,37,23,2,4,0,0,0,0,,,,2,346,17444,23365
4,CAMPECHE,6,HOPELCHEN,32,56,461,7257,202,107,477,4871,6793,110,174,40,107,44,2,3,0,0,0,0,,,,0,377,21025,28711
4,CAMPECHE,7,PALIZADA,10,14,146,2154,50,11,386,710,2266,28,23,6,38,7,0,6,0,0,0,0,,,,0,112,5943,7380
4,CAMPECHE,8,TENABO,8,17,547,1725,33,70,30,729,2854,62,370,48,104,43,1,1,0,0,0,0,,,,1,150,6768,8513
4,CAMPECHE,9,ESCARCEGA,36,74,2261,5077,444,437,288,6078,8954,218,208,95,240,136,8,12,0,0,0,0,,,,5,803,25264,42567
4,CAMPECHE,10,CANDELARIA,35,65,5066,2612,108,153,186,1564,8960,229,218,104,133,204,12,4,0,0,0,0,,,,1,698,20252,33301
4,CAMPECHE,11,CALAKMUL,18,39,97,3384,81,57,402,1291,7399,203,230,68,81,17,2,6,0,0,0,0,,,,0,435,13753,19722
4,CAMPECHE,12,DZITBALCHE,6,17,81,2403,74,64,502,1333,3407,42,128,86,35,6,0,5,0,0,0,0,,,,0,170,8336,11472
4,CAMPECHE,13,SEYBAPLAYA,9,22,135,2795,39,156,113,1120,3836,51,71,19,89,13,0,4,0,0,0,0,,,,4,220,8665,11547
5,COAHUILA,1,ABASOLO,2,3,232,359,2,1,3,0,469,8,3,3,0,0,0,0,0,0,0,0,,,,0,12,1092,1279
5,COAHUILA,2,ACUÑA,64,192,3618,19327,239,6800,554,820,26794,522,240,592,0,0,0,0,26,12,80,67,,,,23,1319,61033,118964
5,COAHUILA,3,ALLENDE,15,33,1033,4617,48,36,62,316,4481,25,36,103,0,0,0,0,2,1,3,5,,,,0,215,10983,18447
5,COAHUILA,4,ARTEAGA,21,38,1150,7637,62,154,56,167,2162,251,114,91,0,0,0,0,102,0,100,1,,,,2,253,12302,19021
5,COAHUILA,5,CANDELA,3,4,745,516,6,1,1,5,141,0,4,2,0,0,0,0,0,0,1,0,,,,2,19,1443,1662
5,COAHUILA,6,CASTAÑOS,22,43,849,4958,211,54,41,148,6224,56,57,48,0,0,0,0,8,0,1,3,,,,1,275,12934,21394
5,COAHUILA,7,CUATROCIENEGAS,14,21,1315,2665,63,16,12,173,1756,35,29,168,0,0,0,0,0,0,0,6,,,,0,99,6337,9408
5,COAHUILA,8,ESCOBEDO,4,6,111,865,17,3,7,3,898,7,8,4,0,0,0,0,0,0,0,2,,,,1,29,1955,2458
5,COAHUILA,9,FRANCISCO I. MADERO,42,80,917,10304,198,737,370,195,15131,313,212,679,0,0,0,0,8,0,6,24,,,,18,536,29648,43742
5,COAHUILA,10,FRONTERA,41,101,9862,10383,219,249,175,321,12067,138,52,2307,0,0,0,0,9,1,6,31,,,,8,576,36404,61398
5,COAHUILA,11,GENERAL CEPEDA,16,20,2927,2390,554,133,182,50,746,11,7,15,0,0,0,0,0,0,0,0,,,,1,160,7176,9384
5,COAHUILA,12,GUERRERO,5,5,293,867,2,3,3,2,112,3,0,0,0,0,0,0,0,0,0,2,,,,0,40,1327,1805
5,COAHUILA,13,HIDALGO,2,3,68,379,0,350,1,1,246,2,3,0,0,0,0,0,0,0,1,0,,,,0,15,1066,1303
5,COAHUILA,14,JIMENEZ,10,16,137,1884,106,125,1111,112,1394,50,26,17,0,0,0,0,1,1,0,4,,,,0,151,5119,8266
5,COAHUILA,15,JUAREZ,4,4,362,390,5,3,4,213,128,1,1,4,0,0,0,0,0,0,0,0,,,,0,22,1133,1401
5,COAHUILA,16,LAMADRID,2,4,399,592,9,4,5,17,321,5,4,2,0,0,0,0,0,0,0,0,,,,0,25,1383,1619
5,COAHUILA,17,MATAMOROS,62,143,1112,24828,1756,4883,431,863,17196,530,270,3655,0,0,0,0,27,22,64,32,,,,14,1244,56927,83745
5,COAHUILA,18,MONCLOVA,124,295,32824,27889,543,644,434,1589,26613,382,362,5568,0,0,0,0,47,5,23,73,,,,31,1758,98785,174496
5,COAHUILA,19,MORELOS,6,12,701,1523,14,14,18,49,1715,12,25,84,0,0,0,0,1,0,0,2,,,,0,64,4222,6873
5,COAHUILA,20,MUZQUIZ,48,97,1072,12662,140,292,345,435,18408,169,168,96,0,0,0,0,3,2,7,17,,,,2,675,34493,54855
5,COAHUILA,21,NADADORES,8,12,935,1416,8,6,17,18,1208,48,12,12,0,0,0,0,1,0,1,1,,,,0,71,3754,5013
5,COAHUILA,22,NAVA,16,39,2704,3884,53,188,129,261,5751,108,39,36,0,0,0,0,2,0,1,7,,,,3,200,13366,23050
5,COAHUILA,23,OCAMPO,13,19,222,1555,32,9,7,120,912,332,15,1007,0,0,0,0,0,0,0,0,,,,26,88,4325,7105
5,COAHUILA,24,PARRAS,34,68,619,6934,1256,248,758,1532,5435,427,283,3543,0,0,0,0,0,0,0,0,,,,22,879,21936,34398
5,COAHUILA,25,PIEDRAS NEGRAS,87,222,9980,19482,391,1300,9088,956,18970,957,590,1489,0,0,0,0,31,8,12,41,,,,65,1324,64684,133176
5,COAHUILA,26,PROGRESO,6,6,128,1574,5,4,0,3,390,3,8,2,0,0,0,0,0,0,0,0,,,,1,51,2169,2876
5,COAHUILA,27,RAMOS ARIZPE,44,122,2707,18914,394,1447,245,633,10507,296,98,204,0,0,0,0,10,3,8,18,,,,25,804,36313,72842
5,COAHUILA,28,SABINAS,37,92,7800,10880,127,247,157,2687,6021,487,40,577,0,0,0,0,3,2,6,12,,,,1,609,29656,50789
5,COAHUILA,29,SACRAMENTO,2,4,127,849,13,13,13,155,432,33,46,13,0,0,0,0,0,0,0,0,,,,0,65,1759,1994
5,COAHUILA,30,SALTILLO,377,1003,27881,152338,5647,7467,1971,6406,107183,1992,864,2618,0,0,0,0,121,19,73,184,,,,118,7366,322248,608791
5,COAHUILA,31,SAN BUENAVENTURA,17,33,808,4508,82,197,91,482,4631,234,34,86,0,0,0,0,3,1,3,6,,,,5,217,11388,18728
5,COAHUILA,32,SAN JUAN DE SABINAS,34,63,2535,7046,63,77,323,278,9176,70,62,173,0,0,0,0,5,2,1,13,,,,4,370,20198,34096
5,COAHUILA,33,SAN PEDRO,74,137,8470,16052,753,9575,267,532,12531,329,195,827,0,0,0,0,20,12,113,35,,,,11,1340,51062,74118
5,COAHUILA,34,SIERRA MOJADA,5,8,432,1121,7,7,1,312,474,48,4,4,0,0,0,0,0,0,1,3,,,,0,41,2455,3730
5,COAHUILA,35,TORREON,390,889,62903,124258,1671,2929,1468,2820,103066,1035,1001,2722,0,0,0,0,185,14,131,287,,,,114,5381,309985,518649
5,COAHUILA,36,VIESCA,22,33,169,4463,37,111,1552,51,3400,35,50,454,0,0,0,0,4,3,1,14,,,,2,165,10511,15109
5,COAHUILA,37,VILLA UNION,8,11,158,1709,23,5,10,10,1450,9,31,6,0,0,0,0,0,0,0,1,,,,0,66,3478,5239
5,COAHUILA,38,ZARAGOZA,13,22,798,1989,95,26,1118,530,1428,6,15,12,0,0,0,0,1,1,0,10,,,,1,150,6180,10829
6,COLIMA,1,COLIMA,91,231,10384,11630,662,6941,1605,13225,19779,1356,626,1618,991,177,11,14,0,0,0,0,,,,58,1942,71019,128146
6,COLIMA,2,COMALA,13,35,1260,1706,65,3436,219,1082,2133,188,87,225,143,64,2,2,0,0,0,0,,,,2,386,11000,17311
6,COLIMA,3,COQUIMATLAN,15,35,751,1616,30,1836,232,1158,2975,198,100,77,67,40,0,1,0,0,0,0,,,,7,294,9382,16600
6,COLIMA,4,CUAUHTEMOC,18,44,813,2746,117,1130,179,2276,4229,643,170,572,164,32,2,2,0,0,0,0,,,,7,431,13513,23519
6,COLIMA,5,VILLA DE ALVAREZ,67,181,6194,8387,510,6662,1672,10841,16266,1210,696,1999,650,93,6,10,0,0,0,0,,,,65,1513,56774,107038
6,COLIMA,6,ARMERIA,21,41,439,1335,102,3579,760,582,3803,380,186,544,74,19,2,5,0,0,0,0,,,,5,377,12192,21839
6,COLIMA,7,IXTLAHUACAN,8,12,211,682,48,763,30,115,358,1465,5,125,57,14,1,2,0,0,0,0,,,,1,123,4000,5257
6,COLIMA,8,MANZANILLO,69,239,8390,5599,444,16166,1702,6235,27622,1779,581,1754,477,161,21,6,0,0,0,0,,,,124,1821,72882,144215
6,COLIMA,9,MINATITLAN,7,18,117,1563,25,2402,31,138,993,561,17,41,76,19,1,0,0,0,0,0,,,,0,140,6124,7834
6,COLIMA,10,TECOMAN,60,143,2808,6204,276,7026,804,2369,12538,1340,645,2527,426,124,18,15,0,0,0,0,,,,20,1294,38434,84553
7,CHIAPAS,1,ACACOYAGUA,7,20,804,416,69,1575,61,145,3198,1634,136,50,15,10,3,1,0,2,5,2,,,,0,311,8437,12572
7,CHIAPAS,2,ACALA,10,26,467,671,134,1807,1175,363,3989,225,496,429,8,7,1,2,12,4,15,7,,,,4,1210,11026,15453
7,CHIAPAS,3,ACAPETAHUA,14,38,433,629,84,2858,2400,368,4925,713,507,124,4,3,1,4,9,15,17,17,,,,4,510,13625,21104
7,CHIAPAS,4,ALTAMIRANO,9,42,180,565,121,7201,142,236,6963,458,309,167,3,4,0,3,0,3,6,5,,,,5,1264,17635,22553
7,CHIAPAS,5,AMATAN,10,28,3619,313,64,4167,43,94,2721,120,98,35,2,10,5,1,5,3,11,2,,,,1,351,11665,15599
7,CHIAPAS,6,AMATENANGO DE LA FRONTERA,14,43,104,455,129,5995,103,100,4361,4254,339,49,2,1,0,1,6,4,11,2,,,,5,761,16682,22828
7,CHIAPAS,7,AMATENANGO DEL VALLE,4,11,45,2840,55,349,90,183,421,79,28,623,2,0,0,0,0,0,1,1,,,,1,926,5644,6716
7,CHIAPAS,8,ANGEL ALBINO CORZO,12,36,206,1045,261,345,651,884,712,225,745,56,39,3,3,2,2,4,1,1,,,,0,853,6038,19762
7,CHIAPAS,9,ARRIAGA,25,59,1461,999,155,748,442,1160,9968,715,954,259,9,6,1,1,21,5,11,21,,,,4,1025,17965,31582
7,CHIAPAS,10,BEJUCAL DE OCAMPO,3,11,24,126,18,140,69,22,204,873,17,7,0,0,0,0,0,0,0,0,,,,0,293,1793,6018
7,CHIAPAS,11,BELLA VISTA,14,28,97,570,117,2143,3110,144,810,881,163,38,4,1,0,0,0,4,4,2,,,,6,1806,9900,14581
7,CHIAPAS,12,BERRIOZABAL,14,58,609,1151,207,5689,421,2810,8705,1275,375,478,32,10,2,3,0,0,0,0,,,,30,1455,23252,37397
7,CHIAPAS,13,BOCHIL,11,45,637,6093,328,2372,376,389,3432,2716,100,116,79,20,3,13,4,8,10,12,,,,1,799,17508,24364
7,CHIAPAS,14,EL BOSQUE,9,30,221,3519,123,1164,150,188,2680,807,229,1150,12,3,1,2,1,3,2,9,,,,1,1743,12008,17371
7,CHIAPAS,15,CACAHOATAN,23,61,963,3134,227,514,5923,330,9008,895,450,99,56,33,6,9,0,0,0,0,,,,2,1072,22721,33962
7,CHIAPAS,16,CATAZAJA,11,25,145,1092,68,193,458,635,5643,179,835,55,25,19,2,3,6,1,12,15,,,,0,249,9635,13744
7,CHIAPAS,17,CINTALAPA,37,109,636,5454,376,8271,1762,1010,13225,1096,721,929,66,18,2,15,27,19,41,15,,,,20,2459,36162,64340
7,CHIAPAS,18,COAPILLA,5,14,44,223,1424,311,61,51,2385,51,54,232,3,0,2,3,0,0,0,0,,,,0,404,5248,6428
7,CHIAPAS,19,COMITAN DE DOMINGUEZ,55,179,1473,14590,676,2440,8079,2983,14803,3023,1857,2151,326,84,13,59,118,43,31,94,,,,272,3808,56923,110523
7,CHIAPAS,20,LA CONCORDIA,24,65,313,970,117,314,251,369,10806,10416,735,256,3,2,0,1,0,1,4,11,,,,1,1171,25741,34975
7,CHIAPAS,21,COPAINALA,14,32,150,3244,176,2821,93,116,4427,298,130,32,49,17,2,7,0,0,0,0,,,,2,606,12170,16343
7,CHIAPAS,22,CHALCHIHUITAN,5,22,115,4056,62,94,145,132,3798,414,206,46,2,4,1,2,1,1,1,3,,,,1,420,9504,11762
7,CHIAPAS,23,CHAMULA,41,130,263,18141,252,6057,1171,459,9478,2519,981,210,16,14,5,9,5,9,19,16,,,,3,2903,42530,68499
7,CHIAPAS,24,CHANAL,6,18,67,645,88,575,74,177,731,1943,43,48,1,0,3,1,1,1,0,1,,,,3,1556,5958,7855
7,CHIAPAS,25,CHAPULTENANGO,3,12,77,57,804,81,82,40,1890,761,44,24,16,3,6,1,0,0,0,0,,,,0,191,4077,5139
7,CHIAPAS,26,CHENALHO,18,59,102,8447,81,8814,106,128,4557,415,730,60,3,1,1,1,1,2,3,3,,,,0,862,24317,33289
7,CHIAPAS,27,CHIAPA DE CORZO,34,122,1440,2380,441,18646,1150,736,15213,1225,696,393,140,14,7,6,118,39,122,65,,,,23,1919,44773,74387
7,CHIAPAS,28,CHIAPILLA,3,9,79,210,43,212,1328,87,1052,439,126,69,0,0,1,0,1,0,0,1,,,,1,399,4048,4945
7,CHIAPAS,29,CHICOASEN,3,7,367,153,42,285,37,91,1374,685,37,54,3,2,0,0,0,0,0,0,,,,0,353,3483,4439
7,CHIAPAS,30,CHICOMUSELO,17,45,180,691,154,180,7746,218,6638,1018,259,80,8,1,1,2,3,4,1,7,,,,4,845,18040,25598
7,CHIAPAS,31,CHILON,44,142,262,821,346,17960,12653,504,25759,928,1437,331,1,1,1,2,0,0,0,0,,,,0,1675,62681,80493
7,CHIAPAS,32,ESCUINTLA,14,41,247,1475,177,3386,1709,280,4359,1004,441,230,2,1,0,3,5,6,17,12,,,,22,978,14354,23080
7,CHIAPAS,33,FRANCISCO LEON,2,11,49,50,15,1384,18,42,1984,273,51,13,0,0,1,0,0,0,0,0,,,,0,237,4117,5066
7,CHIAPAS,34,FRONTERA COMALAPA,30,90,210,2003,215,8383,1182,852,8370,796,707,185,36,9,2,4,13,11,25,18,,,,164,1746,24931,52537
7,CHIAPAS,35,FRONTERA HIDALGO,7,18,238,606,84,1966,158,525,2598,296,160,45,16,9,1,1,0,0,0,0,,,,2,442,7147,10095
7,CHIAPAS,36,LA GRANDEZA,3,10,56,215,28,302,2055,16,687,178,16,6,1,0,0,1,0,1,1,2,,,,0,181,3746,5325
7,CHIAPAS,37,HUEHUETAN,16,52,311,852,926,4142,2330,713,5790,1165,1188,183,69,6,6,12,10,5,9,10,,,,18,1025,18770,27943
7,CHIAPAS,38,HUITIUPAN,10,36,210,719,138,4621,87,272,6394,1056,255,321,3,4,0,0,3,1,8,6,,,,2,1002,15102,17632
7,CHIAPAS,39,HUIXTAN,11,36,121,894,226,1768,4730,169,1828,337,90,81,7,0,1,0,1,12,5,7,,,,1,1162,11440,16445
7,CHIAPAS,40,HUIXTLA,25,72,1670,1918,281,6412,387,384,9843,835,390,182,241,65,14,1,16,25,27,21,,,,16,1116,23844,39954
7,CHIAPAS,41,LA INDEPENDENCIA,16,55,327,946,1081,621,277,530,18197,850,310,174,107,0,5,11,5,1,21,11,,,,18,1662,25154,32444
7,CHIAPAS,42,IXHUATAN,3,10,51,88,1266,20,17,23,2399,58,40,21,27,0,6,6,0,0,1,4,,,,0,122,4149,5100
7,CHIAPAS,43,IXTACOMITAN,6,14,234,213,104,1590,106,93,2522,293,58,44,21,7,1,3,0,0,0,0,,,,2,246,5537,7665
7,CHIAPAS,44,IXTAPA,9,34,108,1490,69,5615,57,99,3935,2351,122,56,56,10,3,5,1,1,3,2,,,,0,404,14387,19759
7,CHIAPAS,45,IXTAPANGAJOYA,2,8,28,76,42,988,1818,17,535,48,1,5,0,1,0,0,0,0,0,0,,,,0,136,3695,4632
7,CHIAPAS,46,JIQUIPILAS,24,58,505,1557,373,7304,1111,297,8126,473,188,136,24,11,3,3,14,7,26,8,,,,1,811,20978,31904
7,CHIAPAS,47,JITOTOL,7,26,262,2296,497,246,148,223,3579,2144,135,148,39,10,4,11,3,1,0,5,,,,0,1999,11750,14091
7,CHIAPAS,48,JUAREZ,13,29,296,921,176,3318,147,143,4308,321,141,182,150,29,3,7,0,0,0,0,,,,4,339,10485,16053
7,CHIAPAS,49,LARRAINZAR,9,33,32,6408,29,2579,43,60,589,72,12,19,12,2,0,2,2,1,6,1,,,,6,352,10227,17143
7,CHIAPAS,50,LA LIBERTAD,5,9,149,146,41,279,52,76,2150,133,485,49,2,2,1,0,1,0,2,3,,,,0,414,3985,4500
7,CHIAPAS,51,MAPASTEPEC,22,57,392,519,160,3009,2357,264,5697,2461,1748,716,55,8,4,1,12,18,9,21,,,,8,745,18204,33614
7,CHIAPAS,52,LAS MARGARITAS,38,173,385,1179,1915,1412,11223,425,17590,18846,1120,339,73,5,3,13,10,13,2,27,,,,14,2762,57356,88444
7,CHIAPAS,53,MAZAPA DE MADERO,5,12,78,1296,146,272,178,67,1530,125,291,63,13,3,0,6,3,0,0,1,,,,8,621,4701,6112
7,CHIAPAS,54,MAZATAN,15,39,1210,763,220,1600,1913,323,4426,1039,430,394,11,6,3,2,8,5,10,14,,,,2,424,12803,20053
7,CHIAPAS,55,METAPA,2,9,170,252,47,304,493,166,1568,167,168,36,11,2,0,0,0,0,0,0,,,,0,267,3651,4914
7,CHIAPAS,56,MITONTIC,5,16,141,1611,542,117,82,64,1021,138,241,1133,2,2,3,7,0,0,0,3,,,,0,435,5542,7985
7,CHIAPAS,57,MOTOZINTLA,28,91,345,2794,920,7229,2255,420,4707,3691,4595,254,27,0,4,82,180,26,18,23,,,,23,2650,30243,51118
7,CHIAPAS,58,NICOLAS RUIZ,1,5,0,0,0,3,4,1,2395,1,2,0,0,0,0,0,1,0,0,2,,,,0,4,2413,3083
7,CHIAPAS,59,OCOSINGO,62,277,449,1918,478,42094,1804,1825,37314,2179,2935,918,19,6,9,4,0,0,0,0,,,,17,4061,96030,148580
7,CHIAPAS,60,OCOTEPEC,3,14,24,2822,25,17,3805,2,142,5,0,1,3,0,0,1,0,0,0,0,,,,0,41,6888,8618
7,CHIAPAS,61,OCOZOCOAUTLA DE ESPINOSA,31,109,1443,1716,1590,12059,693,2346,18563,2155,1756,576,102,16,9,15,251,8,39,27,,,,21,3096,46481,66806
7,CHIAPAS,62,OSTUACAN,11,26,80,2151,29,267,41,390,2125,1597,70,28,32,19,2,3,0,0,0,0,,,,0,234,7068,13447
7,CHIAPAS,63,OSUMACINTA,2,5,1013,119,20,282,26,42,629,109,17,32,9,5,0,0,0,0,0,0,,,,13,284,2600,3088
7,CHIAPAS,65,PALENQUE,35,152,852,2011,1409,16725,1623,1295,16951,2962,8452,1135,99,15,8,5,353,61,135,56,,,,24,3167,57338,89675
7,CHIAPAS,66,PANTELHO,8,26,45,1882,5087,193,55,23,438,55,16,6,8,1,3,15,1,1,0,0,,,,1,153,7983,14882
7,CHIAPAS,67,PANTEPEC,5,16,2313,128,163,235,38,90,1584,80,39,20,8,5,4,0,0,0,0,0,,,,0,1322,6029,8648
7,CHIAPAS,68,PICHUCALCO,18,46,566,578,266,3697,488,162,6494,1057,400,100,69,14,2,2,0,0,0,0,,,,2,543,14440,23716
7,CHIAPAS,69,PIJIJIAPAN,26,72,305,4169,200,618,2732,353,8443,735,3372,684,42,16,6,8,12,3,3,15,,,,9,814,22539,37471
7,CHIAPAS,70,EL PORVENIR,5,18,126,1245,214,1901,290,366,734,1273,364,51,2,0,2,0,1,1,3,0,,,,12,736,7321,9785
7,CHIAPAS,71,PUEBLO NUEVO SOLISTAHUACAN,8,32,110,1338,3298,706,48,34,2059,3127,25,300,3,6,0,2,3,1,1,0,,,,0,373,11434,17589
7,CHIAPAS,72,RAYON,3,12,166,211,978,234,88,144,1812,216,443,572,7,0,7,2,0,0,0,0,,,,5,712,5597,6683
7,CHIAPAS,73,REFORMA,20,54,218,617,172,3322,3178,164,10280,392,210,60,93,6,2,1,0,0,0,0,,,,4,503,19222,30917
7,CHIAPAS,74,LAS ROSAS,12,34,806,2050,620,3322,287,262,3728,612,196,115,107,34,14,15,17,16,26,7,,,,13,1580,13827,19188
7,CHIAPAS,75,SABANILLA,10,33,137,622,54,80,5341,431,8263,176,187,98,0,0,0,0,1,5,0,11,,,,1,1044,16451,18909
7,CHIAPAS,76,SALTO DE AGUA,21,75,411,1601,580,6836,840,808,12350,4589,1353,467,3,5,3,0,7,2,21,20,,,,3,3902,33801,43607
7,CHIAPAS,77,SAN CRISTOBAL DE LAS CASAS,55,235,2625,8170,1850,6707,3402,4173,16522,4650,4220,2350,412,73,15,28,90,34,50,95,,,,292,5909,61667,140730
7,CHIAPAS,78,SAN FERNANDO,14,45,2962,1286,229,6422,192,411,5317,717,231,328,226,72,27,12,0,0,0,0,,,,3,1226,19661,27503
7,CHIAPAS,79,SAN JUAN CANCUC,12,39,68,11756,81,1126,134,136,2521,440,149,20,1,1,0,1,1,1,2,1,,,,0,556,16995,23069
7,CHIAPAS,80,SAN LUCAS,2,9,60,95,49,2017,66,48,471,96,15,11,0,1,0,0,1,0,1,0,,,,0,1135,4066,5098
7,CHIAPAS,82,SIMOJOVEL,14,60,277,2251,541,9052,996,660,2874,214,400,247,10,4,2,3,4,7,10,4,,,,2,3343,20901,32431
7,CHIAPAS,83,SITALA,4,16,41,192,71,105,121,500,4320,698,140,49,0,0,0,0,0,0,0,0,,,,0,2062,8299,9633
7,CHIAPAS,84,SOCOLTENANGO,7,23,304,1595,128,397,2766,102,2837,526,329,89,28,8,1,1,27,8,3,19,,,,159,569,9896,13626
7,CHIAPAS,85,SOLOSUCHIAPA,3,11,123,241,123,596,133,74,1589,1099,48,49,4,1,1,0,0,0,0,0,,,,0,801,4882,6059
7,CHIAPAS,86,SOYALO,4,13,186,1886,139,206,167,130,1562,352,90,459,6,3,0,2,1,0,1,0,,,,2,1029,6221,7643
7,CHIAPAS,87,SUCHIAPA,7,26,584,585,361,3951,483,343,2324,307,170,1565,100,6,10,3,79,13,24,8,,,,5,975,11896,17693
7,CHIAPAS,88,SUCHIATE,17,46,479,1836,173,3138,187,170,7013,1260,434,68,187,29,8,13,0,0,0,0,,,,0,685,15680,24095
7,CHIAPAS,89,SUNUAPA,1,3,78,83,11,236,40,23,526,589,42,22,6,1,0,0,0,0,0,0,,,,1,108,1766,2033
7,CHIAPAS,90,TAPACHULA,173,425,4674,14451,1140,14723,3862,2293,49205,3593,2696,821,747,181,32,54,21,10,21,33,,,,90,4524,103171,237458
7,CHIAPAS,91,TAPALAPA,2,7,26,789,987,43,18,16,639,159,33,11,0,0,0,3,0,0,0,0,,,,0,386,3110,3753
7,CHIAPAS,92,TAPILULA,5,16,146,996,739,822,135,94,2784,137,60,46,26,4,2,19,0,0,0,0,,,,0,642,6652,9165
7,CHIAPAS,93,TECPATAN,13,32,83,3140,47,2718,78,205,4523,309,83,40,35,9,1,12,0,0,0,0,,,,0,486,11769,15510
7,CHIAPAS,94,TENEJAPA,16,57,501,3613,1044,1867,664,870,8178,1616,497,296,3,5,1,6,1,2,8,19,,,,2,2582,21775,28781
7,CHIAPAS,95,TEOPISCA,10,46,328,1430,255,6512,347,471,4545,3454,520,211,59,9,7,8,1,5,7,5,,,,7,2433,20614,29354
